property,roads,violated_rate_pct,mean_segments,mean_violation_duration_s,p95_violation_duration_s,mean_rho_finite,median_rho_finite,p95_rho_finite,mean_rho_when_violated,p5_rho_when_violated,nan_rho_count,inf_rho_count
P1_lane_keeping,973,87.87255909558068,1.8797533401849948,1.4024573895169579,3.456662,-0.2727779033915725,-0.2183,0.05943999999999997,-0.3251835087719298,-0.49552999999999997,0,0
P2_speed_stability,973,0.10277492291880781,0.0010277492291880781,0.000329825282631038,0.0,20.50035103519669,20.67865,21.1777,-5.0,-5.0,7,0
P3_steering_smoothness,973,50.15416238437821,0.8386433710174718,0.08559911613566289,0.40805600000000003,0.00957687564234327,-0.0006,0.17397999999999997,-0.06517090163934426,-0.14393,0,0
P4_heading_alignment,973,14.080164439876668,0.2589928057553957,0.0199548098663926,0.10849599999999995,0.05141800411522634,0.059399999999999994,0.1262,-0.057286131386861304,-0.08184000000000001,1,0
P5_recovery,973,90.13360739979444,1.6906474820143884,2.6229011613566287,6.2264859999999995,-0.31164295991778,-0.2089,0.07897999999999993,-0.3576491448118586,-0.70424,0,0
P6_curvature_safety,973,99.28057553956835,3.6649537512846866,5.492832045220966,10.098113999999999,-0.033548304213771835,-0.0372,-0.027860000000000003,-0.03629285714285715,-0.0409,0,0
