wall_time,episode_idx,road_id,sim_time_s,property,rho,status
2026-06-20 02:52:08,4,352,36.77101,P5_recovery,-0.299,violated
2026-06-20 02:52:10,4,352,38.15577,P5_recovery,-0.356,violated
2026-06-20 02:52:12,4,352,40.38469,P5_recovery,-0.1865,violated
2026-06-20 02:52:13,4,352,41.86296,P5_recovery,-0.4,violated
2026-06-20 02:52:16,4,352,44.20024,P5_recovery,-0.193,violated
2026-06-20 02:52:17,4,352,46.02521,P5_recovery,-0.4215,violated
2026-06-20 02:52:19,4,352,47.55863,P5_recovery,-0.0362,violated
2026-06-20 02:52:21,4,352,50.04137,P5_recovery,-0.056,violated
2026-06-20 02:52:23,4,352,51.09661,P5_recovery,-0.3959,violated
2026-06-20 02:52:33,5,647,7.81632,P5_recovery,-0.0225,violated
2026-06-20 02:52:33,5,647,7.9718,P6_curvature_safety,-0.01287,violated
2026-06-20 02:52:34,5,647,8.25514,P3_steering_smoothness,-0.06707,violated
2026-06-20 02:52:44,6,952,7.65221,P5_recovery,-0.0146,violated
2026-06-20 02:52:44,6,952,7.91014,P6_curvature_safety,-0.0141,violated
2026-06-20 02:52:56,7,401,9.54113,P5_recovery,-0.0852,violated
2026-06-20 02:52:56,7,401,9.62021,P6_curvature_safety,-0.01492,violated
2026-06-20 02:52:56,7,401,9.84676,P3_steering_smoothness,-0.02937,violated
2026-06-20 02:52:56,7,401,9.92629,P1_lane_keeping,-0.0491,violated
2026-06-20 02:52:57,7,401,10.69621,P4_heading_alignment,-0.05701,violated
2026-06-20 02:52:58,7,401,11.10018,P5_recovery,-0.0439,violated
2026-06-20 02:52:58,7,401,11.85175,P5_recovery,-0.0546,violated
2026-06-20 02:53:00,7,401,13.71299,P5_recovery,-0.0223,violated
2026-06-20 02:53:01,7,401,14.40646,P5_recovery,-0.0609,violated
2026-06-20 02:53:03,7,401,16.5247,P5_recovery,-0.0289,violated
2026-06-20 02:53:04,7,401,17.73256,P5_recovery,-0.2594,violated
2026-06-20 02:53:07,7,401,20.15912,P5_recovery,-0.178,violated
2026-06-20 02:53:08,7,401,21.36397,P5_recovery,-0.0161,violated
2026-06-20 02:53:09,7,401,22.48196,P5_recovery,-0.3242,violated
2026-06-20 02:53:11,7,401,24.89029,P5_recovery,-0.1168,violated
2026-06-20 02:53:13,7,401,26.0339,P5_recovery,-0.2788,violated
2026-06-20 02:53:15,7,401,28.10545,P5_recovery,-0.2311,violated
2026-06-20 02:53:16,7,401,29.06313,P5_recovery,-0.3162,violated
2026-06-20 02:53:26,8,220,8.98466,P5_recovery,-0.0172,violated
2026-06-20 02:53:27,8,220,9.79273,P5_recovery,-0.0264,violated
2026-06-20 02:53:27,8,220,9.94618,P3_steering_smoothness,-0.0402,violated
2026-06-20 02:53:28,8,220,10.26532,P4_heading_alignment,-0.04197,violated
2026-06-20 02:53:28,8,220,10.57975,P5_recovery,-0.2443,violated
2026-06-20 02:53:28,8,220,10.75002,P1_lane_keeping,-0.2114,violated
2026-06-20 02:53:28,8,220,10.98937,P6_curvature_safety,-0.0024,violated
2026-06-20 02:53:30,8,220,12.44176,P5_recovery,-0.104,violated
2026-06-20 02:53:32,8,220,14.74673,P5_recovery,-0.1625,violated
2026-06-20 02:53:41,9,61,7.51438,P5_recovery,-0.0071,violated
2026-06-20 02:53:43,9,61,9.03376,P4_heading_alignment,-0.04619,violated
2026-06-20 02:53:43,9,61,9.25561,P5_recovery,-0.1627,violated
2026-06-20 02:53:43,9,61,9.25561,P6_curvature_safety,-0.00725,violated
2026-06-20 02:53:43,9,61,9.48734,P1_lane_keeping,-0.0744,violated
2026-06-20 02:53:43,9,61,9.48734,P3_steering_smoothness,-0.11416,violated
2026-06-20 02:53:45,9,61,10.85597,P5_recovery,-0.0651,violated
2026-06-20 02:53:45,9,61,11.57476,P5_recovery,-0.0367,violated
2026-06-20 02:53:47,9,61,13.57207,P5_recovery,-0.0462,violated
2026-06-20 02:53:49,9,61,15.04695,P5_recovery,-0.4543,violated
2026-06-20 02:57:43,0,248,7.35794,P5_recovery,-0.0215,violated
2026-06-20 02:57:44,0,248,7.86602,P3_steering_smoothness,-0.03215,violated
2026-06-20 02:57:45,0,248,9.10569,P4_heading_alignment,-0.02469,violated
2026-06-20 02:57:45,0,248,9.42214,P5_recovery,-0.2025,violated
2026-06-20 02:57:45,0,248,9.42214,P6_curvature_safety,-0.01817,violated
2026-06-20 02:57:45,0,248,9.58007,P1_lane_keeping,-0.1005,violated
2026-06-20 02:57:47,0,248,11.08479,P5_recovery,-0.1147,violated
2026-06-20 02:57:48,0,248,11.99701,P5_recovery,-0.1874,violated
2026-06-20 02:57:49,0,248,13.68629,P5_recovery,-0.1989,violated
2026-06-20 02:57:51,0,248,14.83868,P5_recovery,-0.1509,violated
2026-06-20 02:57:52,0,248,16.14708,P5_recovery,-0.0168,violated
2026-06-20 02:57:54,0,248,18.17863,P5_recovery,-0.0078,violated
2026-06-20 02:57:54,0,248,18.74402,P5_recovery,-0.1543,violated
2026-06-20 02:58:02,1,172,4.11497,P5_recovery,-0.0049,violated
2026-06-20 02:58:02,1,172,4.40985,P6_curvature_safety,-0.002,violated
2026-06-20 02:58:04,1,172,6.38862,P5_recovery,-0.0242,violated
2026-06-20 02:58:04,1,172,6.68181,P3_steering_smoothness,-0.07522,violated
2026-06-20 02:58:04,1,172,6.73381,P1_lane_keeping,-0.0094,violated
2026-06-20 02:58:06,1,172,8.57883,P4_heading_alignment,-0.01632,violated
2026-06-20 02:58:06,1,172,8.73052,P5_recovery,-0.15,violated
2026-06-20 02:58:08,1,172,9.95286,P5_recovery,-0.0973,violated
2026-06-20 02:58:08,1,172,10.86215,P5_recovery,-0.012,violated
2026-06-20 02:58:10,1,172,12.82682,P5_recovery,-0.1534,violated
2026-06-20 02:58:12,1,172,14.14845,P5_recovery,-0.1157,violated
2026-06-20 02:58:13,1,172,15.3307,P5_recovery,-0.0989,violated
2026-06-20 02:58:14,1,172,16.66847,P5_recovery,-0.1147,violated
2026-06-20 02:58:16,1,172,18.52286,P5_recovery,-0.2577,violated
