road,idx,curvature,str_angle,speed,cte,cl_cross,yaw,rd_hdg,hdg_err,x,y,timestamp
1,1,0.0268,-0.0516,0.00036,0.0,0,0.0,-1.51977,1.51977,100.1488,101.3018,0.03752
1,1,0.0268,-0.05154,0.0,0.0,0,0.0,-1.51977,1.51977,100.1488,101.3018,0.07517
1,1,0.0268,-0.05128,0.0,0.0,0,0.0,-1.51977,1.51977,100.1488,101.3018,0.12495
1,1,0.0268,-0.05124,0.53496,-0.0001,0,-1.50838,-1.51977,0.01139,100.1491,101.297,0.17486
1,1,0.0268,-0.05127,1.64844,-0.0006,0,-1.49787,-1.51977,0.0219,100.1507,101.2751,0.22385
1,1,0.0268,-0.04886,2.46024,-0.0011,0,-1.49977,-1.51977,0.02,100.1525,101.2498,0.27126
1,1,0.0268,-0.04392,3.63744,-0.0023,0,-1.49793,-1.51977,0.02183,100.1565,101.195,0.32985
1,1,0.0268,-0.0462,4.34088,-0.0033,0,-1.49949,-1.51977,0.02028,100.1598,101.1488,0.37953
1,1,0.0268,-0.04566,5.4378,-0.005,0,-1.49856,-1.51977,0.02121,100.1659,101.0645,0.42961
1,2,0.0239,-0.03766,6.55488,-0.0072,0,-1.49797,-1.53497,0.037,100.1734,100.9617,0.47931
1,2,0.0239,-0.03939,7.2918,-0.0068,0,-1.4985,-1.53497,0.03647,100.1791,100.883,0.52701
1,2,0.0239,-0.03345,8.3826,-0.0118,0,-1.49816,-1.53497,0.03681,100.1888,100.7497,0.57658
1,2,0.0239,-0.03397,9.09756,-0.0154,0,-1.49712,-1.53497,0.03785,100.1961,100.6508,0.63695
1,2,0.0239,-0.02683,10.15452,-0.0215,0,-1.49787,-1.53497,0.03709,100.208,100.4879,0.68509
1,3,0.02121,-0.01742,10.845,-0.0259,0,-1.49739,-1.54853,0.05114,100.2167,100.3696,0.73441
1,3,0.02121,-0.00214,11.86236,-0.0331,0,-1.49782,-1.54853,0.05071,100.2307,100.1781,0.78014
1,3,0.02121,0.00432,12.52512,-0.04,0,-1.49866,-1.54853,0.04987,100.2406,100.0411,0.83795
1,4,0.01866,0.01198,13.4982,-0.0505,0,-1.50014,-1.56056,0.06042,100.2561,99.8221,0.88788
1,4,0.01866,0.01627,14.13,-0.057,0,-1.50247,-1.56056,0.05808,100.2667,99.6672,0.94137
1,4,0.01866,0.02895,15.05412,-0.0709,0,-1.50404,-1.56056,0.05652,100.2831,99.4219,0.98968
1,5,0.01629,0.02384,15.65172,-0.0804,0,-1.50512,-1.57114,0.06602,100.2944,99.2501,1.04092
1,5,0.01629,0.03433,16.52292,-0.0953,0,-1.50794,-1.57114,0.0632,100.3114,98.98,1.08987
1,6,0.01405,0.05041,17.36352,-0.1127,0,-1.51,-1.58038,0.07038,100.3287,98.6958,1.13975
1,6,0.01405,0.05952,17.9082,-0.1243,0,-1.51151,-1.58038,0.06887,100.3404,98.4987,1.19031
1,6,0.01405,0.07212,18.52488,-0.1443,0,-1.51504,-1.58038,0.06533,100.3575,98.1923,1.24139
1,7,0.01192,0.09627,18.66564,-0.1573,0,-1.51846,-1.58834,0.06988,100.3685,97.9823,1.28991
1,7,0.01192,0.10219,19.62792,-0.1779,0,-1.52327,-1.58834,0.06507,100.384,97.6564,1.33994
1,8,0.00991,0.1072,20.63268,-0.1912,0,-1.5291,-1.59511,0.06601,100.3934,97.4311,1.39182
