road,idx,curvature,str_angle,speed,cte,cl_cross,yaw,rd_hdg,hdg_err,x,y,timestamp
2,1,0.0085,-0.06137,0.00036,0.0,0,0.0,-1.57245,1.57245,100.0399,100.3896,0.03773
2,1,0.0085,-0.06066,0.0,0.0,0,0.0,-1.57245,1.57245,100.0399,100.3896,0.07566
2,1,0.0085,-0.06076,0.0,0.0,0,0.0,-1.57245,1.57245,100.0399,100.3896,0.12367
2,1,0.0085,-0.06075,1.07028,-0.0002,0,-1.55294,-1.57245,0.0195,100.0401,100.3784,0.17282
2,1,0.0085,-0.06092,1.81764,-0.0005,0,-1.55394,-1.57245,0.0185,100.0404,100.3606,0.22324
2,1,0.0085,-0.06342,2.91276,-0.0013,0,-1.55437,-1.57245,0.01808,100.0411,100.318,0.28203
2,1,0.0085,-0.06029,3.6522,-0.0021,0,-1.55521,-1.57245,0.01723,100.0417,100.2795,0.33263
2,1,0.0085,-0.0624,4.71096,-0.0035,0,-1.55146,-1.57245,0.02098,100.0431,100.2071,0.38121
2,1,0.0085,-0.05775,5.4558,-0.0047,0,-1.552,-1.57245,0.02045,100.0442,100.1486,0.43134
2,1,0.0085,-0.04887,6.57612,-0.0069,0,-1.55146,-1.57245,0.02099,100.0462,100.0452,0.47924
2,1,0.0085,-0.04554,7.3098,-0.0086,0,-1.5506,-1.57245,0.02185,100.0478,99.966,0.52711
2,2,0.00776,-0.04458,8.3988,-0.0115,0,-1.55138,-1.57985,0.02847,100.0504,99.8321,0.58554
2,2,0.00776,-0.04991,9.11304,-0.0119,0,-1.55165,-1.57985,0.02821,100.0523,99.7329,0.63365
2,2,0.00776,-0.04807,10.16856,-0.0166,0,-1.55124,-1.57985,0.02862,100.0555,99.5693,0.68513
2,2,0.00776,-0.05615,10.85796,-0.0201,0,-1.55058,-1.57985,0.02927,100.0579,99.4506,0.73432
2,2,0.00776,-0.04685,11.8728,-0.0261,0,-1.54844,-1.57985,0.03142,100.0622,99.2583,0.78356
2,3,0.00701,-0.03953,12.86136,-0.033,0,-1.54685,-1.58662,0.03976,100.0672,99.0495,0.83263
2,3,0.00701,-0.0367,13.50792,-0.0364,0,-1.54516,-1.58662,0.04146,100.071,98.9013,0.88969
2,3,0.00701,-0.03418,14.45112,-0.0461,0,-1.54533,-1.58662,0.04128,100.077,98.6657,0.93927
2,3,0.00701,-0.03988,15.06168,-0.053,0,-1.54484,-1.58662,0.04178,100.0813,98.5001,0.98829
2,3,0.00701,-0.02288,15.95376,-0.064,0,-1.54474,-1.58662,0.04188,100.0881,98.2392,1.04598
2,4,0.00626,-0.02259,16.52904,-0.0719,0,-1.54278,-1.59273,0.04995,100.0932,98.0572,1.0939
2,4,0.00626,-0.01192,17.3682,-0.0843,0,-1.54341,-1.59273,0.04932,100.101,97.7725,1.14687
2,4,0.00626,-0.01796,17.9082,-0.094,0,-1.54345,-1.59273,0.04928,100.1064,97.5751,1.19624
2,5,0.00551,0.00216,18.52668,-0.109,0,-1.54374,-1.59819,0.05445,100.1147,97.2684,1.24613
2,5,0.00551,-0.00415,18.67176,-0.1185,0,-1.5437,-1.59819,0.05449,100.1204,97.0581,1.29681
2,5,0.00551,0.02177,19.63944,-0.1359,0,-1.54506,-1.59819,0.05313,100.1288,96.7318,1.34683
2,6,0.00476,0.03756,20.11284,-0.1536,0,-1.54531,-1.60299,0.05769,100.1374,96.3945,1.39689
2,6,0.00476,0.06315,21.09816,-0.1648,0,-1.54722,-1.60299,0.05578,100.1429,96.1613,1.44532
2,6,0.00476,0.06086,21.7584,-0.1835,0,-1.55093,-1.60299,0.05206,100.15,95.8039,1.49443
2,7,0.004,0.05579,21.9744,-0.1951,0,-1.55564,-1.60714,0.0515,100.1537,95.5598,1.55337
2,7,0.004,0.10672,22.80852,-0.2111,1,-1.55988,-1.60714,0.04726,100.1578,95.1841,1.60617
2,7,0.004,0.09432,23.07348,-0.2223,1,-1.56332,-1.60714,0.04382,100.1597,94.9298,1.65649
2,8,0.00325,0.12631,23.54184,-0.2366,1,-1.57028,-1.61063,0.04035,100.1599,94.5391,1.70576
2,8,0.00325,0.13456,23.7114,-0.2447,1,-1.57647,-1.61063,0.03416,100.1584,94.2747,1.75391
2,8,0.00325,0.13541,24.48684,-0.2552,1,-1.58488,-1.61063,0.02575,100.1527,93.8699,1.80354
2,9,0.00249,0.12148,24.82308,-0.2601,1,-1.59273,-1.61346,0.02073,100.1467,93.5964,1.85302
2,9,0.00249,0.10416,25.01496,-0.265,1,-1.60043,-1.61346,0.01303,100.1344,93.1815,1.9024
2,10,0.00173,0.09806,25.66224,-0.267,1,-1.60858,-1.61563,0.00705,100.1184,92.7582,1.96464
2,10,0.00173,0.06791,25.95276,-0.267,1,-1.61423,-1.61563,0.0014,100.106,92.4729,2.00233
2,11,0.00097,0.05968,25.93548,-0.2657,1,-1.6185,-1.61714,-0.00136,100.0854,92.0414,2.05325
2,11,0.00097,0.06122,26.07912,-0.2638,1,-1.62185,-1.61714,-0.00471,100.0705,91.7498,2.11048
2,11,0.00097,0.04806,26.9334,-0.2607,1,-1.62395,-1.61714,-0.00681,100.0469,91.3062,2.15827
2,12,0.00021,0.03603,27.11808,-0.2579,1,-1.62656,-1.61799,-0.00857,100.0303,91.0088,2.20737
2,12,0.00021,0.04875,26.91576,-0.2529,1,-1.6288,-1.61799,-0.01081,100.0042,90.5593,2.25632
2,13,-0.00054,0.02528,27.14112,-0.2491,1,-1.6304,-1.61817,-0.01223,99.9861,90.256,2.31372
2,13,-0.00054,0.01745,27.8946,-0.2422,1,-1.63293,-1.61817,-0.01476,99.9575,89.7963,2.36266
2,14,-0.0013,-0.00374,28.08396,-0.2372,1,-1.63465,-1.6177,-0.01695,99.9378,89.4882,2.41076
2,14,-0.0013,-0.00542,27.82044,-0.2293,1,-1.63515,-1.6177,-0.01745,99.9079,89.0242,2.4578
2,14,-0.0013,-0.0066,27.94788,-0.224,1,-1.63441,-1.6177,-0.01671,99.888,88.7118,2.51792
2,15,-0.00206,-0.0202,28.67544,-0.2165,1,-1.63349,-1.61656,-0.01693,99.8583,88.2387,2.56736
2,15,-0.00206,-0.0227,28.80612,-0.2114,1,-1.63302,-1.61656,-0.01646,99.8386,87.9225,2.61882
2,16,-0.00282,-0.00427,28.5102,-0.2043,1,-1.63144,-1.61477,-0.01667,99.8097,87.4465,2.66542
2,16,-0.00282,-0.00799,28.62252,-0.1997,1,-1.62981,-1.61477,-0.01504,99.7908,87.1266,2.71468
2,17,-0.00357,-0.01896,29.27232,-0.1926,1,-1.62947,-1.61231,-0.01716,99.7624,86.6431,2.76462
2,17,-0.00357,-0.02044,29.37744,-0.1876,1,-1.62928,-1.61231,-0.01697,99.7435,86.3203,2.81469
2,18,-0.00433,-0.01754,29.06028,-0.1799,1,-1.62822,-1.60919,-0.01903,99.7156,85.835,2.86489
2,18,-0.00433,-0.02697,29.66508,-0.1722,1,-1.62641,-1.60919,-0.01721,99.6883,85.3446,2.91553
2,19,-0.00509,-0.03643,29.74104,-0.1669,1,-1.62547,-1.60542,-0.02005,99.6704,85.0175,2.96414
2,19,-0.00509,-0.048,29.403,-0.1591,1,-1.62368,-1.60542,-0.01826,99.6444,84.5263,3.02422
2,20,-0.00584,-0.05413,29.46384,-0.1538,1,-1.62145,-1.60099,-0.02047,99.6277,84.1969,3.07343
2,20,-0.00584,-0.05218,30.02508,-0.1469,1,-1.61806,-1.60099,-0.01708,99.6042,83.7001,3.1237
2,21,-0.00659,-0.05687,30.08952,-0.1424,1,-1.61455,-1.5959,-0.01865,99.5897,83.3689,3.17241
2,21,-0.00659,-0.0396,29.73456,-0.1369,1,-1.61121,-1.5959,-0.01531,99.5696,82.8718,3.22225
2,21,-0.00659,-0.05982,29.78136,-0.133,1,-1.60739,-1.5959,-0.0115,99.5574,82.5386,3.27057
2,22,-0.00734,-0.07044,30.31128,-0.1284,1,-1.60505,-1.59015,-0.0149,99.5402,82.0367,3.31981
2,22,-0.00734,-0.07105,30.36168,-0.1242,1,-1.60188,-1.59015,-0.01173,99.5298,81.7022,3.37715
2,23,-0.00808,-0.05718,29.98872,-0.1208,1,-1.5971,-1.58376,-0.01334,99.5166,81.2005,3.42768
2,24,-0.00882,-0.05751,30.52548,-0.1156,1,-1.58744,-1.57671,-0.01072,99.5006,80.3586,3.5461
2,25,-0.00955,-0.06426,30.11724,-0.1119,1,-1.58389,-1.56903,-0.01486,99.494,79.8544,3.57375
2,25,-0.00955,-0.05928,30.14856,-0.111,1,-1.58028,-1.56903,-0.01126,99.4908,79.517,3.63141
2,26,-0.01028,-0.05132,30.63636,-0.1074,1,-1.57611,-1.5607,-0.01542,99.4881,79.0092,3.67954
2,26,-0.01028,-0.03766,30.66984,-0.1068,1,-1.57227,-1.5607,-0.01158,99.4876,78.671,3.72839
2,27,-0.011,-0.05692,30.28248,-0.1026,1,-1.56902,-1.55174,-0.01728,99.4885,78.1642,3.77831
2,27,-0.011,-0.06147,30.30336,-0.1014,1,-1.56637,-1.55174,-0.01464,99.49,77.825,3.82773
2,27,-0.011,-0.06186,30.78108,-0.0958,1,-1.56296,-1.55174,-0.01122,99.494,77.3146,3.8878
2,28,-0.0117,-0.05949,30.807,-0.0933,1,-1.55872,-1.54215,-0.01657,99.4981,76.975,3.92925
2,28,-0.0117,-0.06599,30.40992,-0.0879,1,-1.55488,-1.54215,-0.01273,99.5062,76.466,3.98842
2,29,-0.0124,-0.07819,30.42216,-0.0849,1,-1.55083,-1.53195,-0.01888,99.513,76.1255,4.04043
2,29,-0.0124,-0.08398,30.88692,-0.0788,1,-1.54658,-1.53195,-0.01463,99.5254,75.6135,4.08982
2,30,-0.01308,-0.08601,30.47436,-0.0744,1,-1.5406,-1.52114,-0.01946,99.5408,75.1036,4.14013
2,30,-0.01308,-0.07656,30.49704,-0.0694,1,-1.53503,-1.52114,-0.01389,99.553,74.7626,4.18756
2,31,-0.01375,-0.07642,30.95208,-0.0652,1,-1.52929,-1.50974,-0.01955,99.5743,74.2497,4.23549
2,31,-0.01375,-0.08073,30.9672,-0.0602,1,-1.52394,-1.50974,-0.0142,99.5903,73.9085,4.28554
2,32,-0.0144,-0.09299,30.55644,-0.0554,1,-1.51917,-1.49775,-0.02141,99.6167,73.3976,4.33509
2,32,-0.0144,-0.07904,30.5586,-0.0499,1,-1.51403,-1.49775,-0.01628,99.6361,73.0562,4.396
2,33,-0.01502,-0.07556,31.00536,-0.0447,1,-1.50795,-1.4852,-0.02275,99.6684,72.5429,4.44624
2,33,-0.01502,-0.08098,31.01652,-0.0392,1,-1.50234,-1.4852,-0.01714,99.6918,72.2016,4.49523
2,34,-0.01563,-0.09998,30.60288,-0.0328,1,-1.49754,-1.47211,-0.02543,99.7293,71.6906,4.54432
