road,idx,curvature,str_angle,speed,cte,cl_cross,yaw,rd_hdg,hdg_err,x,y,timestamp
0,1,0.00621,-0.06857,0.0,0.0,0,0.0,2.12634,-2.12634,98.8885,104.7545,0.13306
0,1,0.00621,-0.06858,0.0,0.0,0,0.0,2.12634,-2.12634,98.8885,104.7545,0.15433
0,1,0.00621,-0.0686,0.0,0.0,0,0.0,2.12634,-2.12634,98.8885,104.7545,0.20582
0,1,0.00621,-0.06848,0.999,-0.0002,0,2.13824,2.12634,0.0119,98.8827,104.7636,0.26548
0,1,0.00621,-0.06847,2.20428,-0.0008,0,2.14786,2.12634,0.02152,98.8661,104.7891,0.30605
0,1,0.00621,-0.06831,2.92356,-0.0014,0,2.14429,2.12634,0.01796,98.8495,104.8148,0.35664
0,1,0.00621,-0.06173,4.00644,-0.0025,0,2.14559,2.12634,0.01925,98.8164,104.8659,0.40665
0,1,0.00621,-0.06043,4.73796,-0.0036,0,2.14618,2.12634,0.01984,98.7889,104.9083,0.45653
0,1,0.00621,-0.0518,5.86728,-0.0054,0,2.14607,2.12634,0.01974,98.7391,104.9851,0.50818
0,1,0.00621,-0.05432,6.60924,-0.0068,0,2.14676,2.12634,0.02042,98.7002,105.045,0.55643
0,2,0.00597,-0.05309,7.70868,-0.0091,0,2.14542,2.12203,0.0234,98.6337,105.1477,0.60659
0,2,0.00597,-0.04928,8.43084,-0.0104,0,2.14639,2.12203,0.02437,98.5838,105.2246,0.65717
0,2,0.00597,-0.04809,9.49896,-0.0142,0,2.14679,2.12203,0.02476,98.5008,105.3524,0.70805
0,2,0.00597,-0.04689,10.19808,-0.017,0,2.14759,2.12203,0.02556,98.4401,105.4457,0.75709
0,2,0.00597,-0.0474,11.22912,-0.0218,0,2.14826,2.12203,0.02623,98.341,105.5978,0.82062
0,3,0.00573,-0.04923,11.9016,-0.0253,0,2.14859,2.11789,0.0307,98.2698,105.707,0.86329
0,3,0.00573,-0.05259,12.8898,-0.0309,0,2.15006,2.11789,0.03217,98.1552,105.8822,0.91584
0,3,0.00573,-0.05036,13.54428,-0.0359,0,2.15115,2.11789,0.03326,98.0737,106.0065,0.9664
0,3,0.00573,-0.04252,14.4864,-0.0442,0,2.15305,2.11789,0.03516,97.9438,106.2038,1.03492
0,4,0.00549,-0.03512,15.09516,-0.0503,0,2.15512,2.11391,0.04122,97.8522,106.3423,1.09106
0,4,0.00549,-0.03463,15.99984,-0.0607,0,2.15626,2.11391,0.04235,97.7076,106.5604,1.11441
0,4,0.00549,-0.02542,16.5906,-0.0686,0,2.15713,2.11391,0.04322,97.6065,106.7126,1.16376
0,5,0.00525,-0.00505,17.44704,-0.0812,0,2.15783,2.1101,0.04773,97.4481,106.9507,1.21305
0,5,0.00525,-0.00268,17.98776,-0.0901,0,2.15782,2.1101,0.04772,97.3382,107.1159,1.26812
0,6,0.005,-0.00185,18.60552,-0.1042,0,2.15592,2.10646,0.04946,97.168,107.3728,1.32744
0,6,0.005,0.01018,19.47024,-0.1182,0,2.15428,2.10646,0.04782,96.992,107.6394,1.37359
0,6,0.005,0.0163,19.73304,-0.1286,0,2.15387,2.10646,0.04741,96.8711,107.8227,1.42125
0,7,0.00476,0.03395,20.2212,-0.1442,0,2.15234,2.10299,0.04934,96.6848,108.1061,1.46385
0,7,0.00476,0.04743,21.12516,-0.1548,0,2.15074,2.10299,0.04774,96.5566,108.3018,1.52347
0,8,0.00451,0.05467,21.57984,-0.1709,0,2.1478,2.0997,0.04811,96.3612,108.602,1.56589
0,8,0.00451,0.04988,22.27356,-0.181,0,2.14424,2.0997,0.04454,96.2279,108.8084,1.61585
0,9,0.00426,0.05446,22.74948,-0.1963,0,2.14058,2.09657,0.04402,96.025,109.1251,1.67596
0,9,0.00426,0.06392,23.12172,-0.2057,1,2.13705,2.09657,0.04048,95.8875,109.3414,1.71895
0,9,0.00426,0.0703,23.81724,-0.2204,1,2.13429,2.09657,0.03773,95.6783,109.6725,1.77004
0,10,0.00401,0.07273,24.09264,-0.2295,1,2.13091,2.09361,0.0373,95.5372,109.8975,1.82318
0,10,0.00401,0.08305,24.36408,-0.2426,1,2.12662,2.09361,0.033,95.3239,110.2409,1.87102
0,11,0.00376,0.0838,24.64812,-0.2505,1,2.12252,2.09083,0.03169,95.18,110.4747,1.92107
0,11,0.00376,0.09124,25.29504,-0.2614,1,2.1177,2.09083,0.02687,94.9627,110.8316,1.9722
0,12,0.00351,0.09451,25.53984,-0.2703,1,2.1119,2.08822,0.02368,94.7445,111.1947,2.02519
0,12,0.00351,0.10667,25.77636,-0.2756,1,2.10655,2.08822,0.01833,94.5981,111.4413,2.07408
0,13,0.00326,0.09434,26.28936,-0.2813,1,2.10129,2.08579,0.0155,94.3779,111.8167,2.12628
0,13,0.00326,0.0859,26.4492,-0.2841,1,2.09511,2.08579,0.00932,94.2313,112.0702,2.17798
0,14,0.00301,0.08492,26.721,-0.2858,1,2.08944,2.08353,0.00591,94.0111,112.456,2.22975
