road,idx,curvature,str_angle,speed,cte,cl_cross,yaw,rd_hdg,hdg_err,x,y,timestamp
3,1,0.01283,-0.05989,0.69624,-0.0012,0,-1.47625,-1.4745,-0.00175,100.185,101.2898,0.03835
3,2,0.01285,-0.05219,0.69336,-0.0012,0,-1.46727,-1.48082,0.01355,100.1858,101.2821,0.06924
3,2,0.01285,-0.05186,0.68904,0.0002,0,-1.4746,-1.48082,0.00622,100.1869,101.2707,0.11572
3,2,0.01285,-0.05723,1.43676,-0.0001,0,-1.45932,-1.48082,0.0215,100.1884,101.2573,0.16563
3,2,0.01285,-0.06116,2.56608,-0.0008,0,-1.45859,-1.48082,0.02223,100.1924,101.2218,0.21462
3,2,0.01285,-0.06028,3.71556,-0.0021,0,-1.45874,-1.48082,0.02208,100.1986,101.1667,0.27298
3,2,0.01285,-0.05935,4.45788,-0.0032,0,-1.45665,-1.48082,0.02418,100.204,101.1196,0.32197
3,2,0.01285,-0.05782,5.58324,-0.0054,0,-1.45544,-1.48082,0.02539,100.214,101.0333,0.37198
3,2,0.01285,-0.05235,6.3252,-0.0071,0,-1.45609,-1.48082,0.02474,100.2218,100.9656,0.42304
3,2,0.01285,-0.04841,7.42788,-0.0101,0,-1.45498,-1.48082,0.02585,100.2354,100.8487,0.47308
3,3,0.01287,-0.04976,8.15328,-0.0125,0,-1.45428,-1.48715,0.03287,100.2457,100.7607,0.52325
3,3,0.01287,-0.03262,9.22716,-0.0159,0,-1.45491,-1.48715,0.03224,100.2628,100.6138,0.57395
3,3,0.01287,-0.03849,9.93024,-0.0195,0,-1.45423,-1.48715,0.03293,100.2754,100.5062,0.62345
3,3,0.01287,-0.04432,10.96884,-0.0251,0,-1.45534,-1.48715,0.03182,100.2958,100.3303,0.67215
3,4,0.0129,-0.05547,11.64636,-0.0292,0,-1.45529,-1.49349,0.0382,100.3105,100.2036,0.72196
3,4,0.0129,-0.04938,12.6414,-0.0365,0,-1.45352,-1.49349,0.03998,100.3345,99.9999,0.77087
3,4,0.0129,-0.03464,13.2876,-0.0427,0,-1.45052,-1.49349,0.04297,100.352,99.8551,0.82921
3,5,0.01292,-0.03691,14.23548,-0.053,0,-1.44938,-1.49985,0.05046,100.3801,99.6248,0.87915
3,5,0.01292,-0.01613,14.85036,-0.061,0,-1.44925,-1.49985,0.05059,100.3999,99.4627,0.92919
3,6,0.01295,-0.00241,15.74928,-0.0742,0,-1.44818,-1.50621,0.05804,100.4314,99.2071,0.97804
3,6,0.01295,-0.00714,16.61868,-0.0889,0,-1.44963,-1.50621,0.05658,100.4643,98.9369,1.02878
3,7,0.01298,0.02651,17.18352,-0.0993,0,-1.45116,-1.51259,0.06143,100.4869,98.7489,1.07921
3,7,0.01298,0.04494,17.99928,-0.1163,0,-1.45173,-1.51259,0.06086,100.522,98.4555,1.12883
3,8,0.01301,0.05471,18.62568,-0.1282,0,-1.45443,-1.51898,0.06455,100.5458,98.2519,1.17871
3,8,0.01301,0.05076,18.7668,-0.146,0,-1.45933,-1.51898,0.05965,100.5808,97.9392,1.22807
3,9,0.01304,0.087,19.7874,-0.158,0,-1.46383,-1.52539,0.06155,100.6041,97.7222,1.27837
3,9,0.01304,0.0889,20.7108,-0.1769,0,-1.46701,-1.52539,0.05838,100.6389,97.3881,1.33652
3,10,0.01307,0.08705,20.94732,-0.1891,0,-1.47213,-1.53181,0.05968,100.6614,97.1608,1.38688
3,11,0.01311,0.08634,21.519,-0.2079,1,-1.47817,-1.53825,0.06008,100.6942,96.8077,1.43673
3,11,0.01311,0.10063,21.79584,-0.22,1,-1.48291,-1.53825,0.05534,100.7154,96.5671,1.4887
3,12,0.01315,0.12808,22.71924,-0.239,1,-1.48725,-1.5447,0.05745,100.7465,96.1957,1.54156
3,13,0.01319,0.11762,22.70736,-0.258,1,-1.49372,-1.55118,0.05746,100.7757,95.8176,1.59273
3,13,0.01319,0.12477,23.10696,-0.2698,1,-1.50117,-1.55118,0.05001,100.7937,95.5595,1.64275
3,14,0.01323,0.16969,24.12252,-0.2871,1,-1.50745,-1.55768,0.05023,100.8188,95.1638,1.69297
3,15,0.01327,0.14313,24.44976,-0.2987,1,-1.51406,-1.56419,0.05014,100.834,94.8962,1.74371
3,15,0.01327,0.15559,24.27696,-0.3133,1,-1.52454,-1.56419,0.03966,100.8528,94.4901,1.79488
3,16,0.01332,0.15147,24.70968,-0.3219,1,-1.53315,-1.57073,0.03758,100.8632,94.214,1.84733
3,17,0.01337,0.1739,25.53444,-0.3338,1,-1.54155,-1.57729,0.03574,100.8755,93.7936,1.88825
3,17,0.01337,0.16647,25.8552,-0.3407,1,-1.55001,-1.57729,0.02728,100.8814,93.5098,1.9389
3,18,0.01341,0.18039,25.64784,-0.3482,1,-1.55959,-1.58387,0.02428,100.8862,93.0816,1.99104
3,19,0.01346,0.16921,25.80768,-0.353,1,-1.56942,-1.59048,0.02106,100.8866,92.7919,2.04115
3,20,0.01352,0.15257,26.73324,-0.357,1,-1.57965,-1.59711,0.01746,100.8827,92.3514,2.09935
3,20,0.01352,0.16654,26.90316,-0.3581,1,-1.58944,-1.59711,0.00767,100.8772,92.0564,2.15014
